frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,rapidfem_skin_s11_db,slide6_reference_s11_db,error_db,n_tets,n_dofs
1.000000000000000000e+08,7.292900000000000205e+01,4.912300000000000000e-01,-3.796954027028320855e-02,-2.524303260194358800e-01,-1.186000559329876758e+01,-1.127952755905511850e+01,-5.804780342436490770e-01,4.976000000000000000e+03,3.190000000000000000e+04
1.500000000000000000e+08,6.149600000000000222e+01,5.434099999999999486e-01,-1.735505092268967431e-01,-1.246570736282001240e-01,-1.340472032551383919e+01,-1.128433945756780510e+01,-2.120380867946034087e+00,4.976000000000000000e+03,3.190000000000000000e+04
2.000000000000000000e+08,5.571600000000000108e+01,5.823099999999999943e-01,-1.959338598590820157e-01,5.359443087758634927e-02,-1.384445089326305478e+01,-1.228040244969378847e+01,-1.564048443569266311e+00,4.976000000000000000e+03,3.190000000000000000e+04
2.500000000000000000e+08,5.221033333333333104e+01,6.140333333333333199e-01,-9.603116572438502585e-02,1.739038859679029048e-01,-1.403792885154136805e+01,-1.382020997375328086e+01,-2.177188777880871839e-01,4.976000000000000000e+03,3.190000000000000000e+04
3.000000000000000000e+08,4.982099999999999795e+01,6.414199999999999902e-01,1.344677860463878646e-02,1.689358554978221683e-01,-1.541813460592247864e+01,-1.529265091863517156e+01,-1.254836872873070774e-01,4.976000000000000000e+03,3.190000000000000000e+04
3.250000000000000000e+08,4.890099999999999625e+01,6.538933333333333264e-01,3.658565809245920009e-02,1.408511177392789415e-01,-1.674124330434293739e+01,-1.562467191601049876e+01,-1.116571388332438630e+00,4.976000000000000000e+03,3.190000000000000000e+04
3.500000000000000000e+08,4.810133333333332928e+01,6.657800000000000384e-01,3.719263179471279934e-02,1.151327284905629966e-01,-1.834493424079079915e+01,-1.547550306211723559e+01,-2.869431178673563565e+00,4.976000000000000000e+03,3.190000000000000000e+04
3.750000000000000000e+08,4.740100000000000335e+01,6.771599999999999842e-01,2.292729033594554169e-02,1.013040028147564747e-01,-1.967052555562288418e+01,-1.484514435695538026e+01,-4.825381198667503924e+00,4.976000000000000000e+03,3.190000000000000000e+04
4.000000000000000000e+08,4.678900000000000148e+01,6.880600000000000049e-01,3.404877954309242036e-03,1.027387584808939630e-01,-1.976054634708251001e+01,-1.399343832020997347e+01,-5.767108026872536541e+00,4.976000000000000000e+03,3.190000000000000000e+04
4.500000000000000000e+08,4.575300000000000011e+01,7.088200000000000056e-01,-1.982762493406280482e-02,1.410495833557013634e-01,-1.692758201979172128e+01,-1.229965004374453308e+01,-4.627931976047188201e+00,4.976000000000000000e+03,3.190000000000000000e+04
5.000000000000000000e+08,4.491666666666666430e+01,7.284066666666666467e-01,-3.200496670191519191e-03,1.865546765654635397e-01,-1.458259915584597977e+01,-1.107261592300962327e+01,-3.509983232836356493e+00,4.976000000000000000e+03,3.190000000000000000e+04
6.000000000000000000e+08,4.363499999999999801e+01,7.652099999999999458e-01,4.080114117526573159e-02,1.983259412237327324e-01,-1.387238260200048501e+01,-9.787839020122484968e+00,-4.084543581878000040e+00,4.976000000000000000e+03,3.190000000000000000e+04
7.000000000000000000e+08,4.269800000000000040e+01,7.999733333333333141e-01,1.888618456351579683e-02,2.485071510076684587e-01,-1.206821045698257322e+01,-8.767716535433070391e+00,-3.300493921549502829e+00,4.976000000000000000e+03,3.190000000000000000e+04
8.000000000000000000e+08,4.197833333333333172e+01,8.336233333333333828e-01,7.355881718014120607e-02,3.373427898252487900e-01,-9.236834597049140783e+00,-7.478127734033246377e+00,-1.758706863015894406e+00,4.976000000000000000e+03,3.190000000000000000e+04
9.000000000000000000e+08,4.140500000000000114e+01,8.667599999999999749e-01,1.535378063206472576e-01,3.749590109121918036e-01,-7.847111809143637373e+00,-6.424321959755030953e+00,-1.422789849388606420e+00,4.976000000000000000e+03,3.190000000000000000e+04
1.000000000000000000e+09,4.093633333333333013e+01,8.997933333333333339e-01,2.316429123287790381e-01,3.976207669261074829e-01,-6.741546091788924500e+00,-5.620734908136483021e+00,-1.120811183652441478e+00,4.976000000000000000e+03,3.190000000000000000e+04
