frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,rapidfem_skin_s11_db,slide12_reference_s11_db,error_db,n_tets,n_dofs
2.000000000000000000e+08,5.571600000000000108e+01,5.823099999999999943e-01,6.909626745404060522e-01,-2.394417409593643103e-02,-3.205696129422487939e+00,-8.228346456692912980e+00,5.022650327270424597e+00,4.909000000000000000e+03,3.171000000000000000e+04
2.500000000000000000e+08,5.221033333333333104e+01,6.140333333333333199e-01,6.906567942288718287e-01,-2.987155319936117548e-02,-3.206637718160160855e+00,-1.349190726159230103e+01,1.028526954343213973e+01,4.909000000000000000e+03,3.171000000000000000e+04
3.000000000000000000e+08,4.982099999999999795e+01,6.414199999999999902e-01,6.903121395042491892e-01,-3.579984485604412181e-02,-3.207425121416105807e+00,-1.629921259842519987e+01,1.309178747700909362e+01,4.909000000000000000e+03,3.171000000000000000e+04
3.500000000000000000e+08,4.810133333333332928e+01,6.657800000000000384e-01,6.899272993503449136e-01,-4.173774759403604123e-02,-3.208068330518266009e+00,-1.507217847769028829e+01,1.186411014717202228e+01,4.909000000000000000e+03,3.171000000000000000e+04
4.000000000000000000e+08,4.678900000000000148e+01,6.880600000000000049e-01,6.894990883029069595e-01,-4.769284889473811989e-02,-3.208596682591887905e+00,-1.420822397200350018e+01,1.099962728941161316e+01,4.909000000000000000e+03,3.171000000000000000e+04
5.000000000000000000e+08,4.491666666666666430e+01,7.284066666666666467e-01,6.884960197631287970e-01,-5.968422360069489119e-02,-3.209457066163257100e+00,-1.597112860892388397e+01,1.276167154276062732e+01,4.909000000000000000e+03,3.171000000000000000e+04
5.500000000000000000e+08,4.422200000000000131e+01,7.471300000000000718e-01,6.879089101015075647e-01,-6.573597739160344511e-02,-3.209903473895826309e+00,-1.891951006124235235e+01,1.570960658734652604e+01,4.909000000000000000e+03,3.171000000000000000e+04
6.000000000000000000e+08,4.363499999999999801e+01,7.652099999999999458e-01,6.872516677192256340e-01,-7.183638046342116779e-02,-3.210490712357123577e+00,-2.470253718285213296e+01,2.149204647049500849e+01,4.909000000000000000e+03,3.171000000000000000e+04
6.250000000000000000e+08,4.337533333333333729e+01,7.740433333333334165e-01,6.868917373289378236e-01,-7.490750704885176803e-02,-3.210890274278519474e+00,-2.987204724409450662e+01,2.666115696981598759e+01,4.909000000000000000e+03,3.171000000000000000e+04
6.500000000000000000e+08,4.313366666666666305e+01,7.827733333333333210e-01,6.865068121817660129e-01,-7.799353199102890266e-02,-3.211406977935136187e+00,-3.410433070866142202e+01,3.089292373072628450e+01,4.909000000000000000e+03,3.171000000000000000e+04
6.750000000000000000e+08,4.290800000000000125e+01,7.914200000000000124e-01,6.860924765033993289e-01,-8.109423162103315819e-02,-3.212093292968496439e+00,-2.859197287839022295e+01,2.537987958542172606e+01,4.909000000000000000e+03,3.171000000000000000e+04
7.000000000000000000e+08,4.269800000000000040e+01,7.999733333333333141e-01,6.856430292804079896e-01,-8.420735709608112574e-02,-3.213020744975913612e+00,-2.442913385826770778e+01,2.121611311329179372e+01,4.909000000000000000e+03,3.171000000000000000e+04
7.500000000000000000e+08,4.231600000000000250e+01,8.168999999999999595e-01,6.846165522006668613e-01,-9.043482261653146281e-02,-3.215924569576169567e+00,-2.039260717410323309e+01,1.717668260452706264e+01,4.909000000000000000e+03,3.171000000000000000e+04
8.000000000000000000e+08,4.197833333333333172e+01,8.336233333333333828e-01,6.835016929507077288e-01,-9.655018845993676435e-02,-3.219402821498928091e+00,-1.896325459317585072e+01,1.574385177167692262e+01,4.909000000000000000e+03,3.171000000000000000e+04
9.000000000000000000e+08,4.140500000000000114e+01,8.667599999999999749e-01,6.813676394827637983e-01,-1.092864634744792063e-01,-3.222056921534819374e+00,-1.866141732283464449e+01,1.543936040129982601e+01,4.909000000000000000e+03,3.171000000000000000e+04
1.000000000000000000e+09,4.093633333333333013e+01,8.997933333333333339e-01,6.779632714420620321e-01,-1.225156379772063681e-01,-3.236317494376834247e+00,-1.752405949256343121e+01,1.428774199818659696e+01,4.909000000000000000e+03,3.171000000000000000e+04
1.200000000000000000e+09,4.020799999999999841e+01,9.666700000000000292e-01,6.682088991714432158e-01,-1.465829777046181726e-01,-3.297637031014099662e+00,-1.395450568678914927e+01,1.065686865577504960e+01,4.909000000000000000e+03,3.171000000000000000e+04
1.400000000000000000e+09,3.966100000000000136e+01,1.035866666666666713e+00,6.582495365778404661e-01,-1.699539567117771544e-01,-3.351918588757621276e+00,-1.181102362204724443e+01,8.459105033289622710e+00,4.909000000000000000e+03,3.171000000000000000e+04
1.600000000000000000e+09,3.922866666666666902e+01,1.108333333333333393e+00,6.446274731180431372e-01,-1.912646566179891094e-01,-3.447397991987511290e+00,-1.039370078740157410e+01,6.946302795414062814e+00,4.909000000000000000e+03,3.171000000000000000e+04
1.800000000000000000e+09,3.887199999999999989e+01,1.184700000000000086e+00,6.284851209901027858e-01,-2.087762050188359253e-01,-3.579501359637586866e+00,-9.256342957130359039e+00,5.676841597492772173e+00,4.909000000000000000e+03,3.171000000000000000e+04
2.000000000000000000e+09,3.856800000000000495e+01,1.265466666666666740e+00,6.149913442923934381e-01,-2.212695578587199341e-01,-3.693946082605831904e+00,-8.110236220472440749e+00,4.416290137866608845e+00,4.909000000000000000e+03,3.171000000000000000e+04
