frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,rapidfem_skin_s11_db,slide12_reference_s11_db,error_db,n_tets,n_dofs
2.000000000000000000e+08,5.571600000000000108e+01,5.823099999999999943e-01,9.963049381682657080e-01,-6.530802943540457706e-02,-1.353340528935976193e-02,-8.228346456692912980e+00,8.214813051403552890e+00,4.806000000000000000e+03,3.105200000000000000e+04
2.500000000000000000e+08,5.221033333333333104e+01,6.140333333333333199e-01,9.944593315592480387e-01,-8.140802051744137902e-02,-1.925307403186263602e-02,-1.349190726159230103e+01,1.347265418756043864e+01,4.806000000000000000e+03,3.105200000000000000e+04
3.000000000000000000e+08,4.982099999999999795e+01,6.414199999999999902e-01,9.922680715308893618e-01,-9.743117802002687622e-02,-2.574836571389501477e-02,-1.629921259842519987e+01,1.627346423271130504e+01,4.806000000000000000e+03,3.105200000000000000e+04
3.500000000000000000e+08,4.810133333333332928e+01,6.657800000000000384e-01,9.897331627255626652e-01,-1.133786783520543823e-01,-3.301665948371969306e-02,-1.507217847769028829e+01,1.503916181820656917e+01,4.806000000000000000e+03,3.105200000000000000e+04
4.000000000000000000e+08,4.678900000000000148e+01,6.880600000000000049e-01,9.868540133581418239e-01,-1.292497070843504625e-01,-4.107669333255557775e-02,-1.420822397200350018e+01,1.416714727867094403e+01,4.806000000000000000e+03,3.105200000000000000e+04
5.000000000000000000e+08,4.491666666666666430e+01,7.284066666666666467e-01,9.800563160136301910e-01,-1.607575706659625792e-01,-5.967463262264310897e-02,-1.597112860892388397e+01,1.591145397630124059e+01,4.806000000000000000e+03,3.105200000000000000e+04
5.500000000000000000e+08,4.422200000000000131e+01,7.471300000000000718e-01,9.761285544212634502e-01,-1.763926274298575902e-01,-7.030803872231942975e-02,-1.891951006124235235e+01,1.884920202252003207e+01,4.806000000000000000e+03,3.105200000000000000e+04
6.000000000000000000e+08,4.363499999999999801e+01,7.652099999999999458e-01,9.718340429080313259e-01,-1.919478074305875914e-01,-8.195825561575401097e-02,-2.470253718285213296e+01,2.462057892723638020e+01,4.806000000000000000e+03,3.105200000000000000e+04
6.250000000000000000e+08,4.337533333333333729e+01,7.740433333333334165e-01,9.695426346243828375e-01,-1.996948155364592914e-01,-8.822257898663719844e-02,-2.987204724409450662e+01,2.978382466510786841e+01,4.806000000000000000e+03,3.105200000000000000e+04
6.500000000000000000e+08,4.313366666666666305e+01,7.827733333333333210e-01,9.671491436136447906e-01,-2.074197792420777176e-01,-9.483364741335557901e-02,-3.410433070866142202e+01,3.400949706124806937e+01,4.806000000000000000e+03,3.105200000000000000e+04
6.750000000000000000e+08,4.290800000000000125e+01,7.914200000000000124e-01,9.646469248172712119e-01,-2.151192330674908393e-01,-1.018546852764499883e-01,-2.859197287839022295e+01,2.849011819311377280e+01,4.806000000000000000e+03,3.105200000000000000e+04
7.000000000000000000e+08,4.269800000000000040e+01,7.999733333333333141e-01,9.620275585186323086e-01,-2.227852927015252504e-01,-1.093734416858027497e-01,-2.442913385826770778e+01,2.431976041658190368e+01,4.806000000000000000e+03,3.105200000000000000e+04
7.500000000000000000e+08,4.231600000000000250e+01,8.168999999999999595e-01,9.564155265505180914e-01,-2.379322041790400966e-01,-1.262765652679994355e-01,-2.039260717410323309e+01,2.026633060883523285e+01,4.806000000000000000e+03,3.105200000000000000e+04
8.000000000000000000e+08,4.197833333333333172e+01,8.336233333333333828e-01,9.505294016732835916e-01,-2.526370727999422972e-01,-1.442460955296825942e-01,-1.896325459317585072e+01,1.881900849764616979e+01,4.806000000000000000e+03,3.105200000000000000e+04
9.000000000000000000e+08,4.140500000000000114e+01,8.667599999999999749e-01,9.383434723214256756e-01,-2.824033805405248843e-01,-1.762014296243051836e-01,-1.866141732283464449e+01,1.848521589321033787e+01,4.806000000000000000e+03,3.105200000000000000e+04
1.000000000000000000e+09,4.093633333333333013e+01,8.997933333333333339e-01,9.233908044888168298e-01,-3.117962065025807750e-01,-2.233699344024725475e-01,-1.752405949256343121e+01,1.730068955816095766e+01,4.806000000000000000e+03,3.105200000000000000e+04
1.200000000000000000e+09,4.020799999999999841e+01,9.666700000000000292e-01,8.882077161934347487e-01,-3.637759935035799752e-01,-3.562442226379405885e-01,-1.395450568678914927e+01,1.359826146415120895e+01,4.806000000000000000e+03,3.105200000000000000e+04
1.400000000000000000e+09,3.966100000000000136e+01,1.035866666666666713e+00,8.514185896196281300e-01,-4.110758273895654402e-01,-4.871254424578526088e-01,-1.181102362204724443e+01,1.132389817958939204e+01,4.806000000000000000e+03,3.105200000000000000e+04
1.600000000000000000e+09,3.922866666666666902e+01,1.108333333333333393e+00,8.095600519455773414e-01,-4.516301363540267677e-01,-6.582625081102650988e-01,-1.039370078740157410e+01,9.735438279291308561e+00,4.806000000000000000e+03,3.105200000000000000e+04
1.800000000000000000e+09,3.887199999999999989e+01,1.184700000000000086e+00,7.644995973637797038e-01,-4.825628936479713360e-01,-8.760437693881194532e-01,-9.256342957130359039e+00,8.380299187742240363e+00,4.806000000000000000e+03,3.105200000000000000e+04
2.000000000000000000e+09,3.856800000000000495e+01,1.265466666666666740e+00,7.255047663233691324e-01,-5.052704406846610929e-01,-1.069846762661267991e+00,-8.110236220472440749e+00,7.040389457811173202e+00,4.806000000000000000e+03,3.105200000000000000e+04
