frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,rapidfem_skin_s11_db,slide12_reference_s11_db,error_db,n_tets,n_dofs
2.000000000000000000e+08,5.571600000000000108e+01,5.823099999999999943e-01,1.033884709236332355e-02,-7.578231708414369210e-03,-3.784305992455706047e+01,-8.228346456692912980e+00,-2.961471346786414927e+01,6.208000000000000000e+03,3.991800000000000000e+04
2.500000000000000000e+08,5.221033333333333104e+01,6.140333333333333199e-01,9.850795234995027641e-03,-8.730992586099658309e-03,-3.761280639220775868e+01,-1.349190726159230103e+01,-2.412089913061545587e+01,6.208000000000000000e+03,3.991800000000000000e+04
3.000000000000000000e+08,4.982099999999999795e+01,6.414199999999999902e-01,9.429045638615018987e-03,-9.867683425866843883e-03,-3.729838252080415373e+01,-1.629921259842519987e+01,-2.099916992237895386e+01,6.208000000000000000e+03,3.991800000000000000e+04
3.500000000000000000e+08,4.810133333333332928e+01,6.657800000000000384e-01,9.054502587039789038e-03,-1.099719049661785145e-02,-3.692670403817984237e+01,-1.507217847769028829e+01,-2.185452556048955586e+01,6.208000000000000000e+03,3.991800000000000000e+04
4.000000000000000000e+08,4.678900000000000148e+01,6.880600000000000049e-01,8.714938765759794315e-03,-1.211500185139388966e-02,-3.652234098544509067e+01,-1.420822397200350018e+01,-2.231411701344158871e+01,6.208000000000000000e+03,3.991800000000000000e+04
5.000000000000000000e+08,4.491666666666666430e+01,7.284066666666666467e-01,8.135809554179381994e-03,-1.432473583784006112e-02,-3.566407032839990165e+01,-1.597112860892388397e+01,-1.969294171947601768e+01,6.208000000000000000e+03,3.991800000000000000e+04
5.500000000000000000e+08,4.422200000000000131e+01,7.471300000000000718e-01,7.910191312863005045e-03,-1.545803190858753388e-02,-3.520681171895026296e+01,-1.891951006124235235e+01,-1.628730165770791061e+01,6.208000000000000000e+03,3.991800000000000000e+04
6.000000000000000000e+08,4.363499999999999801e+01,7.652099999999999458e-01,7.641050991661050944e-03,-1.665330830909865500e-02,-3.474024935698307814e+01,-2.470253718285213296e+01,-1.003771217413094519e+01,6.208000000000000000e+03,3.991800000000000000e+04
6.250000000000000000e+08,4.337533333333333729e+01,7.740433333333334165e-01,7.478413333560141041e-03,-1.723212204549445098e-02,-3.452381944240789124e+01,-2.987204724409450662e+01,-4.651772198313384621e+00,6.208000000000000000e+03,3.991800000000000000e+04
6.480000000000000000e+08,4.315220000000000056e+01,7.820799999999999974e-01,7.331120289449248421e-03,-1.774813321925601539e-02,-3.433277914302027511e+01,-3.422659667541557127e+01,-1.061824676047038452e-01,6.208000000000000000e+03,3.991800000000000000e+04
