frequency_hz,tuned_rapidfem_s11_db
2.000000000000000000e+08,-3.784305992455706047e+01
2.500000000000000000e+08,-3.761280639220775868e+01
3.000000000000000000e+08,-3.729838252080415373e+01
3.500000000000000000e+08,-3.692670403817984237e+01
4.000000000000000000e+08,-3.652234098544509067e+01
5.000000000000000000e+08,-3.566407032839990165e+01
5.500000000000000000e+08,-3.520681171895026296e+01
6.000000000000000000e+08,-3.474024935698307814e+01
6.250000000000000000e+08,-3.452381944240789124e+01
6.480000000000000000e+08,-3.433277914302027511e+01
6.500000000000000000e+08,-3.431634058428966227e+01
6.750000000000000000e+08,-3.411334895909455867e+01
7.000000000000000000e+08,-3.391260931700804804e+01
7.500000000000000000e+08,-3.351758979579260256e+01
8.000000000000000000e+08,-3.313268132369971397e+01
9.000000000000000000e+08,-3.239520314798873812e+01
1.000000000000000000e+09,-3.170049581345794110e+01
1.200000000000000000e+09,-3.042463392846488546e+01
1.400000000000000000e+09,-2.927276815785027608e+01
1.600000000000000000e+09,-2.822628468977221061e+01
1.800000000000000000e+09,-2.727019059595343009e+01
2.000000000000000000e+09,-2.639498350780623070e+01
