variant,x0_mm,x1_mm,y_mm,z0_m,z1_m,z0_ohm,s11_db_at_650MHz,n_tets,n_dofs
y=0.6500_full_sub,-0.8925,0.8925,0.65,-0.00127,0.0,50.0,-0.26690835142103636,6290,40438
y=0.8575_full_sub,-0.8925,0.8925,0.8575,-0.00127,0.0,50.0,-20.512818195210386,6157,39602
y=1.0500_full_sub,-0.8925,0.8925,1.05,-0.00127,0.0,50.0,-20.440660491678262,6182,39766
y=1.2500_full_sub,-0.8925,0.8925,1.25,-0.00127,0.0,50.0,-20.09489381659943,6332,40706
y=1.4500_full_sub,-0.8925,0.8925,1.45,-0.00127,0.0,50.0,-21.045966087079776,6208,39918
y=1.6500_full_sub,-0.8925,0.8925,1.65,-0.00127,0.0,50.0,-19.17200873426784,6181,39756
feedbottom_full_halfsub,-0.8925,0.8925,0.8575,-0.0005,0.0,50.0,-4.584836114706304,4862,31418
feedbottom_full_sub_plus_air,-0.8925,0.8925,0.8575,-0.00127,0.001,50.0,-20.35885668124906,6328,40678
feedbottom_wide_sub,-1.5,1.5,0.8575,-0.00127,0.0,50.0,-8.622950798610713,6131,39428
feedbottom_narrow_sub,-0.6,0.6,0.8575,-0.00127,0.0,50.0,-18.860732110658816,5995,38570
