sweep,x0_mm,x1_mm,y_mm,zmin_m,zmax_m,zref_ohm,s11_db_at_648MHz,gamma_real,gamma_imag,n_tets,n_dofs
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,1,-11.490101405549982,0.1968772975177715,0.17943090511343376,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,2,-14.437129881895675,0.07465512511990628,0.17442857675605938,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,3,-16.85702024141378,0.017661026251801475,0.1425080012559958,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,4,-18.740928480853487,-0.010069091942657612,0.1151595039175804,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,5,-20.198778668206508,-0.025100051776098826,0.09445951137039214,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,7.5,-22.565718933642135,-0.04213377415633246,0.06134903028076108,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,10,-23.792631774826507,-0.04924047978307547,0.041846715283915814,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,12.5,-24.373925655556086,-0.05322554697942531,0.028630156996636385,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,15,-24.582420996961744,-0.055943466740858455,0.01875527648975048,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,17.5,-24.57344304341522,-0.058058439956997034,0.010856051390614208,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,20,-24.436485140916126,-0.05985478552543536,0.004220275517697286,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,22.5,-24.223890924299653,-0.06147040187854388,-0.0015577296203761262,6208,39918
zref_low,-0.8925,0.8925,1.45,-0.00127,0.0,25,-23.96689100833919,-0.06297862938725839,-0.006725335375587299,6208,39918
zref_y_low,-0.8925,0.8925,0.8575,-0.00127,0.0,5,-19.94816759721982,-0.026632454609276008,0.0970091538192109,6157,39602
zref_y_low,-0.8925,0.8925,1.05,-0.00127,0.0,5,-20.142293867122536,-0.02537526183393024,0.09504610316270219,6182,39766
zref_y_low,-0.8925,0.8925,1.25,-0.00127,0.0,5,-20.103997718985937,-0.024558503451314495,0.09570925086953716,6332,40706
zref_y_low,-0.8925,0.8925,1.45,-0.00127,0.0,5,-20.198778668206508,-0.025100051776098826,0.09445951137039214,6208,39918
zref_y_low,-0.8925,0.8925,1.65,-0.00127,0.0,5,-20.61734033087419,-0.02686520569251997,0.08918066203248028,6181,39756
zref_y_low,-0.8925,0.8925,0.8575,-0.00127,0.0,7.5,-22.26061261916193,-0.044478158374638456,0.06295853206480756,6157,39602
zref_y_low,-0.8925,0.8925,1.05,-0.00127,0.0,7.5,-22.539116511750393,-0.04273042165763611,0.06121357820271204,6182,39766
zref_y_low,-0.8925,0.8925,1.25,-0.00127,0.0,7.5,-22.53061333835092,-0.04248842398095994,0.06147070134189936,6332,40706
zref_y_low,-0.8925,0.8925,1.45,-0.00127,0.0,7.5,-22.565718933642135,-0.04213377415633246,0.06134903028076108,6208,39918
zref_y_low,-0.8925,0.8925,1.65,-0.00127,0.0,7.5,-22.95651346512072,-0.04399485671385119,0.055917453585262,6181,39756
zref_y_low,-0.8925,0.8925,0.8575,-0.00127,0.0,10,-23.43839641900282,-0.05195012031896742,0.042799922632966315,6157,39602
zref_y_low,-0.8925,0.8925,1.05,-0.00127,0.0,10,-23.765133491928673,-0.05005534785370188,0.04119172559283509,6182,39766
zref_y_low,-0.8925,0.8925,1.25,-0.00127,0.0,10,-23.766644722559292,-0.05012967375515512,0.04108345020912753,6332,40706
zref_y_low,-0.8925,0.8925,1.45,-0.00127,0.0,10,-23.792631774826507,-0.049240479783075476,0.041846715283915814,6208,39918
zref_y_low,-0.8925,0.8925,1.65,-0.00127,0.0,10,-24.038591532462803,-0.051553984374164065,0.03588926293883223,6181,39756
zref_y_low,-0.8925,0.8925,0.8575,-0.00127,0.0,12.5,-23.97865199730161,-0.05615950694869817,0.029099808494952823,6157,39602
zref_y_low,-0.8925,0.8925,1.05,-0.00127,0.0,12.5,-24.31697237220023,-0.05423996478136672,0.02754790602794015,6182,39766
zref_y_low,-0.8925,0.8925,1.25,-0.00127,0.0,12.5,-24.30575434684954,-0.054538553732107066,0.02712893129039891,6332,40706
