sweep,x0_mm,x1_mm,y_mm,zmin_m,zmax_m,zref_ohm,skin_gap_m,substrate_er,substrate_thickness_mm,s11_db_at_648MHz,gamma_real,gamma_imag,n_tets,n_dofs
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,25,0.0,10.2,1.27,-23.96689100833919,-0.06297862938725839,-0.006725335375587299,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,30,0.0,10.2,1.27,-23.388651671875323,-0.06582374406131576,-0.015813796870219367,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,35,0.0,10.2,1.27,-22.783690949095647,-0.06856593202287926,-0.02380194744761438,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,40,0.0,10.2,1.27,-22.18528352823929,-0.07127819276294749,-0.031071981301284204,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,45,0.0,10.2,1.27,-21.607188728948948,-0.07399457683420842,-0.03783741716776216,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,50,0.0,10.2,1.27,-21.054718713018048,-0.07673213543129416,-0.044226785993420274,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,55,0.0,10.2,1.27,-20.52933656127793,-0.07949968751538207,-0.05032204298807991,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,60,0.0,10.2,1.27,-20.030712164515773,-0.08230173609618967,-0.05617789887775773,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,70,0.0,10.2,1.27,-19.108789320200017,-0.08801629456704267,-0.06731230499190598,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,80,0.0,10.2,1.27,-18.276944422804977,-0.09387873318141,-0.07782414917337677,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,100,0.0,10.2,1.27,-16.83592778534441,-0.10601638395434998,-0.09737227456928448,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,125,0.0,10.2,1.27,-15.355748760702497,-0.12184107134706729,-0.11954259077206562,6208,39918
zref_sweep,-0.8925,0.8925,1.45,-0.00127,0.0,150,0.0,10.2,1.27,-14.136530543647098,-0.1382069413912783,-0.13956175766467757,6208,39918
geom_y_zref,-0.8925,0.8925,0.8575,-0.00127,0.0,50,0.0,10.2,1.27,-20.521565517890473,-0.08167224254557968,-0.04688291297636618,6157,39602
geom_y_zref,-0.8925,0.8925,1.05,-0.00127,0.0,50,0.0,10.2,1.27,-20.450141124270452,-0.08109329163766725,-0.0493892343134443,6182,39766
geom_y_zref,-0.8925,0.8925,1.25,-0.00127,0.0,50,0.0,10.2,1.27,-20.104842717490122,-0.08373305889517035,-0.052442884972283506,6332,40706
