frequency_hz,rapidfem_centered_feedleg_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-1.709004903387519869e+00,-4.199475065616797842e-01,-1.289057396825840085e+00
6.000000000000000000e+08,-1.891993131177631238e+00,-1.175853018372703396e+00,-7.161401128049278419e-01
7.000000000000000000e+08,-2.021384930838501681e+00,-4.052493438320210473e+00,2.031108507481708791e+00
7.500000000000000000e+08,-2.067576380088351318e+00,-7.942257217847771500e+00,5.874680837759420626e+00
8.000000000000000000e+08,-2.100823202211365093e+00,-1.457217847769028474e+01,1.247135527547892053e+01
8.250000000000000000e+08,-2.112199995135733754e+00,-1.453595800524934312e+01,1.242375801011360892e+01
8.500000000000000000e+08,-2.119786034724888690e+00,-1.164934383202099610e+01,9.529557797296106969e+00
9.000000000000000000e+08,-2.122489209088147977e+00,-7.395275590551181111e+00,5.272786381463033578e+00
1.000000000000000000e+09,-2.069266759642572673e+00,-4.041994750656167312e+00,1.972727991013594639e+00
1.200000000000000000e+09,-1.698122353117978989e+00,-2.414698162729658648e+00,7.165758096116796594e-01
1.500000000000000000e+09,-1.176496739265790348e+00,-2.330708661417322691e+00,1.154211922151532344e+00
