frequency_hz,rapidfem_edge_port_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,6.785504797879841551e-03,-4.199475065616797842e-01,4.267330113595595997e-01
6.000000000000000000e+08,1.641923032802665959e-03,-1.175853018372703396e+00,1.177494941405506035e+00
7.000000000000000000e+08,-2.077315868768557505e-02,-4.052493438320210473e+00,4.031720279632525106e+00
7.500000000000000000e+08,-4.792587659077963969e-02,-7.942257217847771500e+00,7.894331341256991763e+00
8.000000000000000000e+08,-9.824573944354909882e-02,-1.457217847769028474e+01,1.447393273824673621e+01
8.250000000000000000e+08,-1.382786153372774218e-01,-1.453595800524934312e+01,1.439767938991206542e+01
8.500000000000000000e+08,-1.940139100869420485e-01,-1.164934383202099610e+01,1.145532992193405342e+01
9.000000000000000000e+08,-3.854153604000023492e-01,-7.395275590551181111e+00,7.009860230151178762e+00
1.000000000000000000e+09,-1.759063178651810944e+00,-4.041994750656167312e+00,2.282931572004356369e+00
1.200000000000000000e+09,-5.473721926866734755e+00,-2.414698162729658648e+00,-3.059023764137076107e+00
1.500000000000000000e+09,-2.343326934652445903e+00,-2.330708661417322691e+00,-1.261827323512321186e-02
