frequency_hz,rapidfem_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-3.055044154412868140e-01,-4.199475065616797842e-01,1.144430911203929702e-01
5.500000000000000000e+08,-4.863019557832296558e-01,-6.918635170603678608e-01,2.055615612771382050e-01
6.000000000000000000e+08,-8.008048017611366642e-01,-1.175853018372703396e+00,3.750482166115667315e-01
6.500000000000000000e+08,-1.382430721119549677e+00,-2.135433070866141758e+00,7.530023497465920812e-01
7.000000000000000000e+08,-2.535046134550759334e+00,-4.052493438320210473e+00,1.517447303769451139e+00
7.500000000000000000e+08,-4.975332217616124986e+00,-7.942257217847771500e+00,2.966925000231646514e+00
8.000000000000000000e+08,-1.028109774235081808e+01,-1.457217847769028474e+01,4.291080735339466656e+00
8.500000000000000000e+08,-1.380840634972580538e+01,-1.164934383202099610e+01,-2.159062517704809281e+00
9.000000000000000000e+08,-7.942342179983242545e+00,-7.395275590551181111e+00,-5.470665894320614342e-01
9.500000000000000000e+08,-4.909871588740045922e+00,-5.237795275590550581e+00,3.279236868505046587e-01
1.000000000000000000e+09,-3.384966393328711298e+00,-4.041994750656167312e+00,6.570283573274560140e-01
1.050000000000000000e+09,-2.531652418853129305e+00,-3.319685039370079416e+00,7.880326205169501108e-01
1.100000000000000000e+09,-2.011850972455633713e+00,-2.876640419947506633e+00,8.647894474918729202e-01
1.150000000000000000e+09,-1.674102975410419081e+00,-2.582677165354330562e+00,9.085741899439114810e-01
1.200000000000000000e+09,-1.443713156263343400e+00,-2.414698162729658648e+00,9.709850064663152480e-01
1.250000000000000000e+09,-1.280768020948719110e+00,-2.288713910761154935e+00,1.007945889812435825e+00
1.300000000000000000e+09,-1.162474583768103420e+00,-2.238320209973755581e+00,1.075845626205652161e+00
1.350000000000000000e+09,-1.075079071118566265e+00,-2.204724409448818978e+00,1.129645338330252713e+00
1.400000000000000000e+09,-1.009893597350040473e+00,-2.204724409448818978e+00,1.194830812098778505e+00
1.450000000000000000e+09,-9.612201534441122686e-01,-2.246719160104986734e+00,1.285499006660874466e+00
1.500000000000000000e+09,-9.252101127073568687e-01,-2.330708661417322691e+00,1.405498548709965823e+00
