frequency_hz,rapidfem_parallel_feedmetals_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-1.903922213022860022e-02,-4.199475065616797842e-01,4.009082844314512117e-01
6.000000000000000000e+08,-3.807434066943679585e-02,-1.175853018372703396e+00,1.137778677703266572e+00
7.000000000000000000e+08,-7.910380585393091135e-02,-4.052493438320210473e+00,3.973389632466279409e+00
7.500000000000000000e+08,-1.174082719690455051e-01,-7.942257217847771500e+00,7.824848945878725814e+00
8.000000000000000000e+08,-1.794936128900628258e-01,-1.457217847769028474e+01,1.439268486480022169e+01
8.250000000000000000e+08,-2.250904269188732099e-01,-1.453595800524934312e+01,1.431086757833046974e+01
8.500000000000000000e+08,-2.854998358616097631e-01,-1.164934383202099610e+01,1.136384399615938712e+01
9.000000000000000000e+08,-4.787038073457672849e-01,-7.395275590551181111e+00,6.916571783205413659e+00
1.000000000000000000e+09,-1.690306618732851929e+00,-4.041994750656167312e+00,2.351688131923315161e+00
1.200000000000000000e+09,-5.973865737249033359e+00,-2.414698162729658648e+00,-3.559167574519374710e+00
1.500000000000000000e+09,-2.473213955063176428e+00,-2.330708661417322691e+00,-1.425052936458537367e-01
