frequency_hz,rapidfem_sheet_legs_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-2.895304041502460568e-01,-4.199475065616797842e-01,1.304171024114337274e-01
6.000000000000000000e+08,-4.635681750563379611e-01,-1.175853018372703396e+00,7.122848433163654347e-01
7.000000000000000000e+08,-7.258387597285893555e-01,-4.052493438320210473e+00,3.326654678591621117e+00
7.500000000000000000e+08,-9.089204406547567450e-01,-7.942257217847771500e+00,7.033336777193015088e+00
8.000000000000000000e+08,-1.144817738072317015e+00,-1.457217847769028474e+01,1.342736073961796706e+01
8.250000000000000000e+08,-1.289524070173873938e+00,-1.453595800524934312e+01,1.324643393507546918e+01
8.500000000000000000e+08,-1.457387796570875249e+00,-1.164934383202099610e+01,1.019195603545012041e+01
9.000000000000000000e+08,-1.886120448683042294e+00,-7.395275590551181111e+00,5.509155141868138372e+00
1.000000000000000000e+09,-3.394508543441597137e+00,-4.041994750656167312e+00,6.474862072145701752e-01
1.200000000000000000e+09,-4.789878366419718425e+00,-2.414698162729658648e+00,-2.375180203690059777e+00
1.500000000000000000e+09,-4.820254319029062984e+00,-2.330708661417322691e+00,-2.489545657611740292e+00
