frequency_hz,rapidfem_thick_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-4.569865829894315667e-01,-4.199475065616797842e-01,-3.703907642775178255e-02
5.500000000000000000e+08,-7.201161259815207494e-01,-6.918635170603678608e-01,-2.825260892115288858e-02
6.000000000000000000e+08,-1.167003838974008056e+00,-1.175853018372703396e+00,8.849179398695339316e-03
6.500000000000000000e+08,-1.961709750617243175e+00,-2.135433070866141758e+00,1.737233202488985828e-01
7.000000000000000000e+08,-3.438730174251723781e+00,-4.052493438320210473e+00,6.137632640684866914e-01
7.500000000000000000e+08,-6.266405581092454824e+00,-7.942257217847771500e+00,1.675851636755316676e+00
8.000000000000000000e+08,-1.143913432069609470e+01,-1.457217847769028474e+01,3.133044156994190033e+00
8.500000000000000000e+08,-1.344898845831077772e+01,-1.164934383202099610e+01,-1.799644626289781613e+00
9.000000000000000000e+08,-8.683213917484817301e+00,-7.395275590551181111e+00,-1.287938326933636191e+00
9.500000000000000000e+08,-5.785440490595551211e+00,-5.237795275590550581e+00,-5.476452150050006296e-01
1.000000000000000000e+09,-4.179841640610505671e+00,-4.041994750656167312e+00,-1.378468899543383586e-01
1.050000000000000000e+09,-3.222962010661707843e+00,-3.319685039370079416e+00,9.672302870837157229e-02
1.100000000000000000e+09,-2.614149277198506205e+00,-2.876640419947506633e+00,2.624911427490004279e-01
1.150000000000000000e+09,-2.206186757224485984e+00,-2.582677165354330562e+00,3.764904081298445782e-01
1.200000000000000000e+09,-1.921656561090659299e+00,-2.414698162729658648e+00,4.930416016389993494e-01
1.250000000000000000e+09,-1.717151234402738647e+00,-2.288713910761154935e+00,5.715626763584162884e-01
1.300000000000000000e+09,-1.566956365748779945e+00,-2.238320209973755581e+00,6.713638442249756366e-01
1.350000000000000000e+09,-1.455110494734686011e+00,-2.204724409448818978e+00,7.496139147141329673e-01
1.400000000000000000e+09,-1.371308953315863777e+00,-2.204724409448818978e+00,8.334154561329552013e-01
1.450000000000000000e+09,-1.308680708711182028e+00,-2.246719160104986734e+00,9.380384513938047064e-01
1.500000000000000000e+09,-1.262529339911112825e+00,-2.330708661417322691e+00,1.068179321506209867e+00
