frequency_hz,rapidfem_thin_legs_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-3.044338968628437780e-02,-4.199475065616797842e-01,3.895041168753954341e-01
6.000000000000000000e+08,-4.719968791788266282e-02,-1.175853018372703396e+00,1.128653330454820747e+00
7.000000000000000000e+08,-7.079264523573475243e-02,-4.052493438320210473e+00,3.981700793084475887e+00
7.500000000000000000e+08,-8.624078218492189918e-02,-7.942257217847771500e+00,7.856016435662849240e+00
8.000000000000000000e+08,-1.050503269515608018e-01,-1.457217847769028474e+01,1.446712815073872349e+01
8.250000000000000000e+08,-1.160315789864437841e-01,-1.453595800524934312e+01,1.441992642626289900e+01
8.500000000000000000e+08,-1.282844381667289091e-01,-1.164934383202099610e+01,1.152105939385426758e+01
9.000000000000000000e+08,-1.574880828888773621e-01,-7.395275590551181111e+00,7.237787507662304165e+00
1.000000000000000000e+09,-2.442095447102711758e-01,-4.041994750656167312e+00,3.797785205945896081e+00
1.200000000000000000e+09,-7.301380739651487373e-01,-2.414698162729658648e+00,1.684560088764509800e+00
1.500000000000000000e+09,-1.660626280446725334e+00,-2.330708661417322691e+00,6.700823809705973577e-01
