frequency_hz,rapidfem_zwidth_edgefeed_s11_db,slide5_reference_s11_db,error_db
5.000000000000000000e+08,-5.675795007031161354e-01,-4.199475065616797842e-01,-1.476319941414363512e-01
6.000000000000000000e+08,-1.646768880609850605e+00,-1.175853018372703396e+00,-4.709158622371472092e-01
7.000000000000000000e+08,-5.830112680759173216e+00,-4.052493438320210473e+00,-1.777619242438962743e+00
7.500000000000000000e+08,-1.230020790984509915e+01,-7.942257217847771500e+00,-4.357950691997327652e+00
8.000000000000000000e+08,-2.075905388235691262e+01,-1.457217847769028474e+01,-6.186875404666627887e+00
8.250000000000000000e+08,-1.388524842483828969e+01,-1.453595800524934312e+01,6.507095804110534232e-01
8.500000000000000000e+08,-1.018370818270854805e+01,-1.164934383202099610e+01,1.465635649312448052e+00
9.000000000000000000e+08,-6.444495695132252067e+00,-7.395275590551181111e+00,9.507798954189290441e-01
1.000000000000000000e+09,-3.619298485740257476e+00,-4.041994750656167312e+00,4.226962649159098362e-01
1.200000000000000000e+09,-2.217434227667664626e+00,-2.414698162729658648e+00,1.972639350619940224e-01
1.500000000000000000e+09,-2.268819319459159267e+00,-2.330708661417322691e+00,6.188934195816342410e-02
